Cluster,CF
SOL-01,0.299939058
SOL-01,0.295886234
SOL-01,0.29712294
SOL-01,0.297674551
SOL-01,0.29731717
SOL-01,0.295852381
SOL-01,0.296861914
SOL-01,0.297186721
SOL-01,0.296885506
SOL-01,0.29544153
SOL-01,0.297036938
SOL-01,0.296168273
SOL-01,0.29552477
SOL-01,0.295222732
SOL-01,0.295835146
SOL-01,0.296103909
SOL-01,0.296486644
SOL-01,0.29686868
SOL-01,0.297363477
SOL-01,0.297966875
SOL-01,0.297086224
SOL-01,0.295915428
SOL-01,0.29641229
SOL-01,0.29611069
SOL-01,0.296436391
SOL-01,0.295620055
SOL-01,0.297706672
SOL-01,0.29729495
SOL-01,0.296695527
SOL-01,0.296451709
SOL-01,0.296150424
SOL-01,0.295791557
SOL-01,0.295717578
SOL-01,0.295757846
SOL-01,0.297714777
SOL-01,0.296961901
SOL-01,0.296604879
SOL-01,0.296531999
SOL-01,0.296116845
SOL-01,0.295529255
SOL-01,0.299725882
SOL-01,0.298359996
SOL-01,0.297041833
SOL-01,0.296555208
SOL-01,0.295454951
SOL-01,0.295266575
SOL-01,0.295747661
SOL-01,0.300029144
SOL-01,0.297534185
SOL-01,0.296667125
SOL-01,0.296138593
SOL-01,0.295951575
SOL-01,0.295535414
SOL-01,0.295607402
SOL-01,0.296333542
SOL-01,0.296667174
SOL-01,0.29671893
SOL-01,0.296770172
SOL-01,0.296764656
SOL-01,0.296871349
SOL-01,0.29680838
SOL-01,0.296638572
SOL-01,0.296972293
SOL-01,0.2963451
SOL-01,0.296508938
SOL-01,0.296503297
SOL-01,0.296941278
SOL-01,0.297215606
SOL-01,0.296303788
SOL-01,0.296410809
SOL-01,0.296911672
SOL-01,0.297186448
SOL-01,0.297291986
SOL-01,0.296324096
SOL-01,0.29676908
SOL-01,0.296931801
SOL-01,0.297094185
SOL-01,0.297143407
SOL-01,0.296732935
SOL-01,0.296670506
SOL-01,0.296776531
SOL-01,0.296938368
SOL-01,0.296740334
SOL-01,0.297071008
SOL-01,0.296811545
SOL-01,0.297032843
SOL-01,0.296745773
SOL-01,0.296683746
SOL-01,0.296734324
SOL-01,0.29616154
SOL-01,0.296944741
SOL-01,0.296488532
SOL-01,0.295973892
SOL-01,0.296852262
SOL-01,0.296565543
SOL-01,0.296447532
SOL-01,0.296272211
SOL-01,0.296039484
SOL-01,0.295919388
SOL-01,0.29596882
SOL-01,0.296244644
SOL-01,0.295716744
SOL-01,0.296703314
SOL-01,0.296529488
SOL-01,0.296976376
SOL-01,0.296858134
SOL-01,0.296569673
SOL-01,0.296280196
SOL-01,0.296329596
SOL-01,0.296605085
SOL-01,0.296766824
SOL-01,0.296497823
SOL-01,0.296662772
SOL-01,0.297052973
SOL-01,0.297047789
SOL-01,0.296590121
SOL-01,0.296074089
SOL-01,0.296059111
SOL-01,0.296390889
SOL-01,0.29657462
SOL-01,0.296795961
SOL-01,0.29667826
SOL-01,0.296503424
SOL-01,0.296214528
SOL-01,0.29592453
SOL-01,0.295218379
SOL-01,0.296394176
SOL-01,0.295707011
SOL-01,0.295187687
SOL-01,0.294837394
SOL-01,0.294875672
SOL-01,0.294810304
SOL-01,0.294952385
SOL-01,0.295294296
SOL-01,0.295314867
SOL-01,0.295421141
SOL-01,0.29510846
SOL-01,0.295441706
SOL-01,0.295150081
SOL-01,0.295170642
SOL-01,0.29436719
SOL-01,0.294756907
SOL-01,0.295429293
SOL-01,0.295590031
SOL-01,0.29749186
SOL-01,0.298100279
SOL-01,0.294255885
SOL-01,0.294644773
SOL-01,0.295373755
SOL-01,0.296270195
SOL-01,0.297445163
SOL-01,0.294665445
SOL-01,0.295621114
SOL-01,0.296629507
SOL-01,0.297239783
SOL-01,0.295084009
SOL-01,0.296151097
SOL-01,0.296988436
SOL-01,0.294317844
SOL-01,0.295558382
SOL-01,0.296566941
SOL-01,0.29723395
SOL-01,0.297110883
SOL-01,0.295238421
SOL-01,0.29653064
SOL-01,0.297253952
SOL-01,0.294368121
SOL-01,0.294813951
SOL-01,0.296334502
SOL-01,0.29728376
SOL-01,0.297376128
SOL-01,0.294738175
SOL-01,0.295637205
SOL-01,0.296307008
SOL-01,0.297312888
SOL-01,0.297809675
SOL-01,0.297743754
SOL-01,0.297058124
SOL-01,0.2953258
SOL-01,0.296730194
SOL-01,0.297678587
SOL-01,0.298006879
SOL-01,0.297875925
SOL-01,0.294397026
SOL-01,0.294673444
SOL-01,0.295062685
SOL-01,0.295960228
SOL-01,0.298202975
SOL-01,0.298530636
SOL-01,0.298521858
SOL-01,0.298007958
SOL-01,0.298748893
SOL-01,0.299299781
SOL-01,0.299459449
SOL-01,0.29838969
SOL-01,0.297819714
SOL-01,0.297134855
SOL-01,0.296447165
SOL-01,0.296661823
SOL-01,0.297270322
SOL-01,0.297427092
SOL-01,0.298033731
SOL-01,0.297352126
SOL-01,0.296103082
SOL-01,0.295583804
SOL-01,0.295232984
SOL-01,0.295164944
SOL-01,0.296161318
SOL-01,0.296714022
SOL-01,0.296825754
SOL-01,0.296028268
SOL-01,0.295113826
SOL-01,0.294479321
SOL-01,0.295375564
SOL-01,0.295029859
SOL-01,0.295168787
SOL-01,0.294936526
SOL-01,0.294905219
SOL-01,0.2966035
SOL-01,0.295126584
SOL-01,0.296397939
SOL-01,0.294976697
SOL-01,0.296248493
SOL-01,0.29539308
SOL-01,0.29476086
SOL-01,0.294637575
SOL-01,0.2962118
SOL-01,0.296034509
SOL-01,0.295969444
SOL-01,0.295564454
SOL-01,0.294647516
SOL-01,0.29572364
SOL-01,0.295941402
SOL-01,0.296384177
SOL-01,0.296318771
SOL-01,0.295348197
SOL-01,0.29804924
SOL-01,0.299107261
SOL-01,0.298704199
SOL-01,0.297848523
SOL-01,0.296818831
SOL-01,0.29498545
SOL-01,0.294582266
SOL-01,0.2973927
SOL-01,0.299126982
SOL-01,0.295874332
SOL-01,0.2957137
SOL-01,0.296780802
SOL-01,0.296883222
SOL-01,0.297098145
SOL-01,0.295838051
SOL-01,0.296074691
SOL-01,0.295666576
SOL-01,0.296382015
SOL-01,0.294947143
SOL-01,0.295640646
SOL-01,0.295231689
SOL-01,0.29527725
SOL-01,0.295151453
SOL-01,0.29480529
SOL-01,0.295235892
SOL-01,0.294882818
SOL-01,0.294902683
SOL-01,0.295597421
SOL-01,0.294846194
SOL-01,0.295107209
SOL-01,0.295151441
SOL-01,0.294852732
SOL-01,0.295173315
SOL-01,0.296128508
